PillProjectDisc1,!_4!DFN2-E8ODAOMKCG28FS3M8OQLX.JPG,Clear,PRINTED,"Watson;370;10;mg"
PillProjectDisc1,!-8QFHYG3_ZPMLE-LZU276KBALN2QY.JPG,Clear,DEBOSSED,"MYLAN;199"
PillProjectDisc1,!-JJ6PG3MLT9-U1PQ633_QW8!J9-T4.JPG,Clear,DEBOSSED,"West;ward;210"
PillProjectDisc1,!-K81RA5ES3H0VBXZ_NEKJN7YXB30H.JPG,Clear,DEBOSSED,"NVR;HDU"
PillProjectDisc1,!-PLM2DVJZZRPLXY!T_6VSSTWAY!0!.JPG,Clear,DEBOSSED,"313"
PillProjectDisc1,!-TBVJT83I7!0B-7LV0VRMAX97IRTW.JPG,Clear,DEBOSSED,"G;13"
PillProjectDisc1,!-Y58MFXIQVK!18PGGT_TI3Z6A-3DV.JPG,Clear,PRINTED,"barr;324;100"
PillProjectDisc1,!!RAPF_H!RMZN!KPG9A7RDFP6!SD3G.JPG,Clear,DEBOSSED,"LAMICTAL;100"
PillProjectDisc1,!!VRD847QII0ER062-GZ-8Q_2Z-S1_.JPG,Clear,DEBOSSED,"93;93;852"
PillProjectDisc1,!0ZEC4QB!F2DMB8DSA29BFM1JRQDG0.JPG,Clear,DEBOSSED,"D12"
PillProjectDisc1,!10CWNZTK-658A3ENZRF7EQP3CGP!4.JPG,Clear,DEBOSSED,"C;51"
PillProjectDisc1,!12555B8DJOYNYKLZUBV28L2!M2LO0.JPG,Clear,PRINTED,"93;3193;93;3193"
PillProjectDisc1,!153MIX55ZEVB3PEZCKM7_AFFKV5PP.JPG,Clear,PRINTED,"TEVA;2080"
PillProjectDisc1,!2!L8B-DMZ2SIYV-NZ21UPSAMGQE6Z.JPG,Clear,DEBOSSED,"AN;361"
PillProjectDisc1,!275_DOUQX-OPMEIUJQ-C1S-WOQZ1F.JPG,Clear,PRINTED,"barr;808"
PillProjectDisc1,!2XPGB8RH-ATFWV4U2K7JOX13ETL3E.JPG,Clear,DEBOSSED,"Ortho;214"
PillProjectDisc1,!36EJCI-FB4VDH_SY2_-U9OC4_3J-B.JPG,Clear,DEBOSSED,"West;ward;209"
PillProjectDisc1,!3F1WJ2-OPOHJCGUDP9L5G9LYH9QMJ.JPG,Clear,DEBOSSED,"227"
PillProjectDisc1,!3M6Y5P!PGG91-CI60466MO0H3DZ6X.JPG,Clear,DEBOSSED,"874;4;barr"
PillProjectDisc1,!5JR-744XWYWWNZ6RC!MU67YF!DBRT.JPG,Clear,DEBOSSED,"MYLAN;186"
PillProjectDisc1,!5QPMH3E5QZXTPO-98X7TESAZZGBZ0.JPG,Clear,DEBOSSED,"SB;4890"
PillProjectDisc1,!6-U5Z!6RVP9YZP4UDS9MPA1Z251-X.JPG,Clear,PRINTED,"Theo;24;400;mg;ucb;2902"
PillProjectDisc1,!67ZU9S9BHS9LTQDX2UF8B4!8JBNXF.JPG,Clear,PRINTED,"KU;485;100;mg"
PillProjectDisc1,!6Q5Z6Q8OH4QNK7YBTXZUXVOR6SBY0.JPG,Clear,DEBOSSED,"A;B"
PillProjectDisc1,!72-7A!G9A361GUUV-82I0-KIWTQTT.JPG,Clear,PRINTED,"60274;180;mg"
PillProjectDisc1,!7NPXQL-DN99N4PJVL3LZ09I7Z0_KQ.JPG,Clear,PRINTED,"93;3193;93;3193"
PillProjectDisc1,!7P_AG3RG5DI5N9VSRD3Z8_K5-2CR.JPG,Clear,DEBOSSED,"TARO;56"
PillProjectDisc1,!7RUFVLRXKROK_2NREA-49C3BJV9BR.JPG,Clear,PRINTED,"barr;635"
PillProjectDisc1,!89J!6!RY68GQAKVNMDRYP!S3LK-3Q.JPG,Clear,DEBOSSED,"H;126"
PillProjectDisc1,!93UWDTZG8LFM!QA0Q7UJLQL!HPF_O.JPG,Clear,DEBOSSED,"TL;171"
PillProjectDisc1,!9DISEFPX9S-EPZYZFHPZ9PMZCHSG_.JPG,Clear,DEBOSSED,"E;44"
