"SF_!!IF8HYENAYQ82OQQ6S5IWUY24FY21.JPG",null,DEBOSSED,"SB;4890",00007489020,1
"SF_!!Y!J4LFX874X-ZO_STDLPI4VVL48I.JPG",null,DEBOSSED,"PD;156;20",00591377519,1
"SF_!-S5NZ32CL_4ST84WWTZ3UB4-DT6D8.JPG",null,DEBOSSED,"F;L;20",00456202001,1
"SF_!0S6ND4!9PAAHB1NSQFQ88YUDO-CCE.JPG",null,PRINTED,"PLIVA;647;PLIVA;647",50111064701,1
"SF_!15TI4IMPC4Z90K7T0SFPJC8BIVT2P.JPG",null,DEBOSSED,"TL;171",59746017106,1
"SF_!17P_AOES4S1H4BBB2WGQ0MBADF7Q_.JPG",null,DEBOSSED,"NOVO;288",69238125106,1
"SF_!2WFIDHG2ZVTVEA6D0NRO06790MXGT.JPG",null,DEBOSSED,"G19;10",68462023501,1
"SF_!36QF3-V2I28Y8NG2WBJUV6FX0Q6NL.JPG",null,PRINTED,"130;ANTARA;LUPIN",27437011006,1
"SF_!3NWGN8Q41X3!SAGUN3-1L9VMG9EJR.JPG",null,DEBOSSED,"54;892",00054418425,1
"SF_!4P97W8HVSEHX6G40_IVV5ITJU75TW.JPG",null,DEBOSSED,"gsk;8;4",00007314913,1
"SF_!4QTZ5953REY_NMYB-DKGO7AFEVUB6.JPG",null,DEBOSSED,"93;7355",00093735556,1
"SF_!5J-740TL3_0YENGZR0OLVJ0H5V1QJ.JPG",null,DEBOSSED,"DYN;090",99207046130,1
"SF_!5K!AQ_DD3DQQ5K17IZQ8WF_AJXIX!.JPG",null,DEBOSSED,"WPI;2228",00591246705,1
"SF_!5LJZ1IB98WP1TW1BBI2BQ5D!HQ6MX.JPG",null,PRINTED,"VRX;650",68682006510,1
"SF_!6EQICOHL187W82950D_ZG1PZ31BC5.JPG",null,DEBOSSED,"638",00228163803,1
"SF_!7D3M-V_VB88IZCFL41ZBY6FSQXL!K.JPG",null,DEBOSSED,"93;536",00093053601,1
"SF_!8MJFS72RZGCI1DE-RS_NES0VLYMI8.JPG",null,DEBOSSED,"T1",16714034001,1
"SF_!949NU-YQ3!R-YEBYWM9PM70K!DO9S.JPG",null,DEBOSSED,"PD;155;10",00591377419,1
"SF_!9HMW11URND7B6GQ6RQOH_9HJB9R2!.JPG",null,DEBOSSED,"2065;V;4",00603233921,1
"SF_!A9YFGR2WED6UD-G5HPP_09XJNOFE7.JPG",null,DEBOSSED,"USL;071",00245007111,1
"SF_!BFCML!M_MEHY83I3UZZ_NKV8R4U!8.JPG",null,PRINTED,"barr;935",00555105586,1
"SF_!BH6NSCQHFAVLPER93IHBOZRQ8WB3M.JPG",null,DEBOSSED,"b;211;5",00555021110,1
"SF_!BHPS8!ZU4RW-LHFGZFQIM2YK3S6E9.JPG",null,DEBOSSED,"P;02",49884092202,1
"SF_!C_NO0MX!2ZOCTSH3D69M14IM-7186.JPG",null,DEBOSSED,"PAL;M",00525801990,1
"SF_!DIR60AJ2J1KLUSWR11S6QN-6UV4.JPG",null,DEBOSSED,"F;12",13107015630,1
"SF_!EWEG!VLUZGLZA1S5A4GDM041Z367.JPG",null,PRINTED,"Cipla;421;200;mg",69097042107,1
"SF_!FA37KBK25O0E964TT2KSR4QHP5G5B.JPG",null,DEBOSSED,"M;FE4",00378306677,1
"SF_!FRLD-D8WBSC54F_AK_80F3T4-HE!C.JPG",null,DEBOSSED,"LAMICTAL;25",00173063310,1
"SF_!GETVP1CEUVM_HM98T_U1-MH6M3DMZ.JPG",null,DEBOSSED,"M;R21",00378312101,1
"SF_!GSV5XCEUGY20CR49Y0NOVBYWC97C_.JPG",null,DEBOSSED,"NAT;123",51991035478,1
"SF_!H2ZGU8LEUK9GZFIILN9X5XE99!FKZ.JPG",null,DEBOSSED,"242;2;WATSON",00591024210,1
"SF_!HV5AFD2JG7NHOMJOEAV_KK9VOH7R3.JPG",null,DEBOSSED,"GG;105",00781139101,1
"SF_!HXO3YZZOOSTV7J0VO12XZG93H4P49.JPG",null,PRINTED,"M;O10",00378661001,1
"SF_!IJWPM_TCFQQOE2OA_!B18JY5C7II.JPG",null,DEBOSSED,"4833M;15;850",00093505006,1
"SF_!IM78XGZXB7AJFYBXQD!9U75L_L79D.JPG",null,PRINTED,"R1",55111011381,1
"SF_!J-Q7EVM38XDT8GVESTJV30HCW45X.JPG",null,DEBOSSED,"93;9133",00093913306,1
"SF_!JMRU7N949YIDW95U6VI2CVFAU-LR9.JPG",null,DEBOSSED,"b;986",00555901858,2
"SF_!KAM5DP6J4D3YP3M_ZVDW-NQI_QJI8.JPG",null,DEBOSSED,"A;KL",68382076214,1
"SF_!L2JO82LX7W-LQYAWQN1AS9ZMI1BIN.JPG",null,PRINTED,"TEVA;10mg;0810",00093081001,1
"SF_!LW5T_6MPKM2WVLF_NTY7ZZWDFMP1B.JPG",null,PRINTED,"E99",16714039102,1
