PillProjectDisc1,!!XUD84WEVV5WVC6O1OD9DS0!DBV6X.JPG,null,DEBOSSED,"BMS;6060;500"
PillProjectDisc1,!0!JA4RQFVD3J7!YFH-XL918FHKJQA.JPG,null,DEBOSSED,"GG;124"
PillProjectDisc1,!0O0D737HGY-_AWTAUPO5R__PZJR39.JPG,null,DEBOSSED,"JSP;514"
PillProjectDisc1,!13SC47_Q3PPFMK5GLF6PYJTMT-YVC.JPG,null,DEBOSSED,"GX;CL;2"
PillProjectDisc1,!1NUCMBH2C4XLZKQ2Q6OAE0667ENET.JPG,null,DEBOSSED,"BAYER;M400"
PillProjectDisc1,!2R!Q-JNGS7BYBYOEYX0L07EUBQQYT.JPG,null,PRINTED,"MUTUAL;866;MUTUAL;866"
PillProjectDisc1,!3S6WQIACCZHVNWQFZQQP16WDH8QR2.JPG,null,DEBOSSED,"DAN;DAN;5442"
PillProjectDisc1,!49N_7F_1ABQ!OI0!3DJO8EJR2H9R6.JPG,null,DEBOSSED,"ZC40"
PillProjectDisc1,!4Z58_HUJ7I8A1LZFI6M4CFD9H2X65.JPG,null,DEBOSSED,"WATSON;302"
PillProjectDisc1,!5SWJ7L9W2O7LOWPGLYMC9IFMLNLV7.JPG,null,DEBOSSED,"TV;2204"
PillProjectDisc1,!7ODVV636WG3SQQHZ7_TUM8-_-4KUH.JPG,null,DEBOSSED,"GG;962;875"
PillProjectDisc1,!C9A9-YWC2BU73A9_ZC4JJJKMWUULT.JPG,null,DEBOSSED,"H;PAD"
PillProjectDisc1,!EA0VNBWTB-4HBCC634PZ4MB85!VB6.JPG,null,DEBOSSED,"b;944"
PillProjectDisc1,!ER_L-9UW4J0KP5FQTJ2-LQKM!FKUK.JPG,null,PRINTED,"WPI;845"
PillProjectDisc1,!HQ!96M8DMVBYE7YQC1YWE2SCA_ZZ7.JPG,null,PRINTED,"832;10"
PillProjectDisc1,!M96UQ91DQ1RWXWL7PS1UDHXRN_K-T.JPG,null,DEBOSSED,"G;2442"
PillProjectDisc1,!MCODT59ISFD8Q2PE7SO7MYC87W4GK.JPG,null,DEBOSSED,"I46"
PillProjectDisc1,!MIDI7FTKS8XHW!NFM9QQDE1HL2N63.JPG,null,DEBOSSED,"93;7540"
PillProjectDisc1,!NPWIPVMJ12EI9QJJT1F70OKRT-X2N.JPG,null,PRINTED,"Pfizer;PGN;150"
PillProjectDisc1,!NQ6U9YZL_XUZQ43N436ZXPI6CI15X.JPG,null,DEBOSSED,"MSD;749"
PillProjectDisc1,!QJCVPF-3E806R!M!W-1HJ7S8RT3HN.JPG,null,DEBOSSED,"GG;N5"
PillProjectDisc1,!R22-_4XKSMJALB9!UHZ4AZKVW3_VO.JPG,null,DEBOSSED,"R;751"
PillProjectDisc1,!SD8UK5C04VYXFK3R7S2K_J!KHESMW.JPG,null,DEBOSSED,"OP;700"
PillProjectDisc1,!VWJ7V68Q18J06HW365AU8HLSGNZLG.JPG,null,DEBOSSED,"500;125;AMC"
PillProjectDisc1,!YJL5YP_RUQ5HQ62IMO_4-XWM1XUR-.JPG,null,DEBOSSED,"1;85"
PillProjectDisc1,!ZAFETFAA_YPXIN!LS8XW0U23_P8PI.JPG,null,PRINTED,"West;ward;Flurazepam;15"
PillProjectDisc1,!ZS5XF3OMVY-MX6SUR7XSGG16K4HX7.JPG,null,DEBOSSED,"Z;67"
PillProjectDisc10,6_3JO319B6Y8QKPQDAQ!PY!3_HR6Q!.JPG,null,PRINTED,"a;135"
