"PillProjectDisc1","!!11F_JYDH1-PK9TCJNDAHE6B8C6TR.JPG","CAPSULE"
"PillProjectDisc1","!!2URC27CGGZKYVY2MCA6DK5NKB0SJ.JPG","ROUND"
"PillProjectDisc1","!!AQ7AVWT0ICK5-WLVJKQR69VTT3UH.JPG","OVAL"
"PillProjectDisc1","!!EA-JXPI!3H2VI1GTJ321T18LK_55.JPG","OVAL"
"PillProjectDisc1","!!F9BRW_A7W0FZYX-Q315LI_6RYIWS.JPG","OVAL"
"PillProjectDisc1","!!KAO-023YI13KRFZGUQM8PU31_LZV.JPG","ROUND"
"PillProjectDisc1","!!M5GUDID8A3X!-1D4FI3DHX_Z_8JC.JPG","ROUND"
"PillProjectDisc1","!!M5V-M3M9FDZ_7Q52!CJD0MT1DZ4R.JPG","OVAL"
"PillProjectDisc1","!!NPU_Q7ORPJJZX-D5YCTK2CKQ!E97.JPG","CAPSULE"
"PillProjectDisc1","!!Q_XS3RZCK1M78NMERKUB!84!TETO.JPG","CAPSULE"
"PillProjectDisc1","!!RAPF_H!RMZN!KPG9A7RDFP6!SD3G.JPG","FREEFORM"
"PillProjectDisc1","!!SQC-AZJRVBJPE93GW_Z-NUMHKU-I.JPG","OVAL"
"PillProjectDisc1","!!SRPQXAASBCQPWTY-1_4ONT78S2KK.JPG","OVAL"
"PillProjectDisc1","!!VRD847QII0ER062-GZ-8Q_2Z-S1_.JPG","OVAL"
"PillProjectDisc1","!!XUD84WEVV5WVC6O1OD9DS0!DBV6X.JPG","ROUND"
"PillProjectDisc1","!-0WOSNJ2HRX__A_6C_EKH2HBLU_GK.JPG","OVAL"
"PillProjectDisc1","!-5G025J352GXHOPUTTKTR8EBKK13X.JPG","OVAL"
"PillProjectDisc1","!-8QFHYG3_ZPMLE-LZU276KBALN2QY.JPG","ROUND"
"PillProjectDisc1","!-AP9XR65Q2BY1QUTCWA5!MJVZZG!7.JPG","PENTAGON (5 sided)"
"PillProjectDisc1","!-E6_13B0R5!WLC2UW6_ETGE!KGDS4.JPG","ROUND"
"PillProjectDisc1","!-JJ6PG3MLT9-U1PQ633_QW8!J9-T4.JPG","ROUND"
"PillProjectDisc1","!-K81RA5ES3H0VBXZ_NEKJN7YXB30H.JPG","OVAL"
"PillProjectDisc1","!-KLWKBWJ4Q-1D04O_12TR3EA3VEOY.JPG","ROUND"
"PillProjectDisc1","!-OPNHZEB7F1GL0TXIMSD6IGP7R991.JPG","OVAL"
"PillProjectDisc1","!-P7M4C67D1AYJ!Y3SJRVMME-7NVC0.JPG","ROUND"
"PillProjectDisc1","!-PLM2DVJZZRPLXY!T_6VSSTWAY!0!.JPG","OVAL"
"PillProjectDisc1","!-TBVJT83I7!0B-7LV0VRMAX97IRTW.JPG","OVAL"
"PillProjectDisc1","!-Y58MFXIQVK!18PGGT_TI3Z6A-3DV.JPG","CAPSULE"
"PillProjectDisc1","!-Y82BFOZYGWUK4D636!R9QTCXA5TO.JPG","ROUND"
