"!!11F_JYDH1-PK9TCJNDAHE6B8C6TR.JPG","CAPSULE"
"!!2URC27CGGZKYVY2MCA6DK5NKB0SJ.JPG","ROUND"
"!!AQ7AVWT0ICK5-WLVJKQR69VTT3UH.JPG","OVAL"
"!!EA-JXPI!3H2VI1GTJ321T18LK_55.JPG","OVAL"
"!!F9BRW_A7W0FZYX-Q315LI_6RYIWS.JPG","OVAL"
"!!IF8HYENAYQ82OQQ6S5IWUY24FY21.JPG","PENTAGON (5 sided)"
"!!KAO-023YI13KRFZGUQM8PU31_LZV.JPG","ROUND"
"!!M5GUDID8A3X!-1D4FI3DHX_Z_8JC.JPG","ROUND"
"!!M5V-M3M9FDZ_7Q52!CJD0MT1DZ4R.JPG","OVAL"
"!!NPU_Q7ORPJJZX-D5YCTK2CKQ!E97.JPG","CAPSULE"
"!!Q_XS3RZCK1M78NMERKUB!84!TETO.JPG","CAPSULE"
"!!RAPF_H!RMZN!KPG9A7RDFP6!SD3G.JPG","FREEFORM"
"!!SQC-AZJRVBJPE93GW_Z-NUMHKU-I.JPG","OVAL"
"!!SRPQXAASBCQPWTY-1_4ONT78S2KK.JPG","OVAL"
"!!VRD847QII0ER062-GZ-8Q_2Z-S1_.JPG","OVAL"
"!!XUD84WEVV5WVC6O1OD9DS0!DBV6X.JPG","ROUND"
"!!Y!J4LFX874X-ZO_STDLPI4VVL48I.JPG","OVAL"
"!-0WOSNJ2HRX__A_6C_EKH2HBLU_GK.JPG","OVAL"
"!-5G025J352GXHOPUTTKTR8EBKK13X.JPG","OVAL"
"!-8QFHYG3_ZPMLE-LZU276KBALN2QY.JPG","ROUND"
"!-AP9XR65Q2BY1QUTCWA5!MJVZZG!7.JPG","PENTAGON (5 sided)"
"!-E6_13B0R5!WLC2UW6_ETGE!KGDS4.JPG","ROUND"
"!-JJ6PG3MLT9-U1PQ633_QW8!J9-T4.JPG","ROUND"
"!-K81RA5ES3H0VBXZ_NEKJN7YXB30H.JPG","OVAL"
"!-KLWKBWJ4Q-1D04O_12TR3EA3VEOY.JPG","ROUND"
"!-OPNHZEB7F1GL0TXIMSD6IGP7R991.JPG","OVAL"
"!-P7M4C67D1AYJ!Y3SJRVMME-7NVC0.JPG","ROUND"
"!-PLM2DVJZZRPLXY!T_6VSSTWAY!0!.JPG","OVAL"
"!-S5NZ32CL_4ST84WWTZ3UB4-DT6D8.JPG","ROUND"
"!-TBVJT83I7!0B-7LV0VRMAX97IRTW.JPG","OVAL"
"!-Y58MFXIQVK!18PGGT_TI3Z6A-3DV.JPG","CAPSULE"
"!-Y82BFOZYGWUK4D636!R9QTCXA5TO.JPG","ROUND"
"!-ZDJM0JWT-CQBM-89Y50YK9XHRBWP.JPG","TRIANGLE"
"!0!JA4RQFVD3J7!YFH-XL918FHKJQA.JPG","ROUND"
"!01GQBQBC7K_I60VXO9J6W03I_D!2A.JPG","OVAL"
"!023X4OO8D_J516OY2AQ-DB7P--L9!.JPG","TRIANGLE"
"!04T298AQUZP_QJKMXALZ-A01PBZXY.JPG","ROUND"
"!0BRS2FMA6I4SWH!4_5NF1STHG!LPH.JPG","OVAL"
"!0HJURGOWY58PV2IO6A5T_ZD26RI63.JPG","OVAL"
"!0KGOH213DNYLLF5BOG6!L6-AFX1UD.JPG","ROUND"
"!0O0D737HGY-_AWTAUPO5R__PZJR39.JPG","ROUND"
"!0S6ND4!9PAAHB1NSQFQ88YUDO-CCE.JPG","CAPSULE"
"!0X7C0H7OX3J65RAO-1-1HH7NPH6K2.JPG","ROUND"
"!0ZEC4QB!F2DMB8DSA29BFM1JRQDG0.JPG","OVAL"
"!10CWNZTK-658A3ENZRF7EQP3CGP!4.JPG","ROUND"
"!12555B8DJOYNYKLZUBV28L2!M2LO0.JPG","CAPSULE"
"!12_QTB!JWB4KJ8-SEK_DQYRS5Y_FJ.JPG","OVAL"
"!13SC47_Q3PPFMK5GLF6PYJTMT-YVC.JPG","OVAL"
"!153MIX55ZEVB3PEZCKM7_AFFKV5PP.JPG","CAPSULE"
"!15TI4IMPC4Z90K7T0SFPJC8BIVT2P.JPG","ROUND"
"!166NPMZJZJ5T9IP4SD1CVXII3B7L8.JPG","OVAL"
"!17P_AOES4S1H4BBB2WGQ0MBADF7Q_.JPG","ROUND"
"!1A-BH!6LQ7EO83KXYGO58BD4XFGFY.JPG","OVAL"
"!1AL9U2731E!KHY6_FQHJID2NSH!-L.JPG","OVAL"
"!1DH8W24UW1KCZS7LA6PUXG3K80IS!.JPG","DIAMOND"
"!1G9GE067-O5FZLR20RZET4H4JYZ58.JPG","OVAL"
"!1HM!YXHWA13B6IEDOMVMGRVKL--TW.JPG","ROUND"
"!1N5H-IOHNZWDOW46!4JVI1_W5CSF!.JPG","ROUND"
"!1NUCMBH2C4XLZKQ2Q6OAE0667ENET.JPG","OVAL"
"!1P!4F_URALL_NXB-87QF-S47J!!7Q.JPG","OVAL"
"!1S3SD0!B98KJ2GA0JPXH-EMDGCKON.JPG","RECTANGLE"
"!1THSXUJ5!4RSR5LZHUP202QNOEY9L.JPG","ROUND"
"!2!L8B-DMZ2SIYV-NZ21UPSAMGQE6Z.JPG","ROUND"
"!2!OXQENS2FC8B!AK!7RLF4-RUUMSL.JPG","ROUND"
"!24F27X2RV7T4K00WYO72M!FKVGV0Y.JPG","ROUND"
"!258!RS2G7!LFQZIWPGSFJR8LBPV-X.JPG","OVAL"
"!26B-SRSX9AKRBYYG6AGWI8HB49Y2J.JPG","OVAL"
"!275_DOUQX-OPMEIUJQ-C1S-WOQZ1F.JPG","CAPSULE"
"!2ADWWF5SUDEBNOZ0HIUX2HED5WZ10.JPG","ROUND"
"!2BNM4V2CSFA9!HDI594UVTPI8M03_.JPG","OVAL"
"!2E2KY616L1_Y852IKDE_EFV2K6-Z5.JPG","CAPSULE"
"!2JLF914R_IW7J85G-LBS0CE5L!MA-.JPG","ROUND"
"!2M07JMRI!WN0WBTAXD_PO-YDXXLKA.JPG","ROUND"
"!2MO24WD93J51T-S8F7VU7TNRE4UYL.JPG","ROUND"
"!2R!Q-JNGS7BYBYOEYX0L07EUBQQYT.JPG","CAPSULE"
"!2WB!7CUF_RONBX468Y07TWS99AAU5.JPG","CAPSULE"
"!2WFIDHG2ZVTVEA6D0NRO06790MXGT.JPG","ROUND"
"!2XPGB8RH-ATFWV4U2K7JOX13ETL3E.JPG","ROUND"
"!30Y8BXFIM5TG0DLMGBS-RZ_HAUUFV.JPG","OVAL"
"!36EJCI-FB4VDH_SY2_-U9OC4_3J-B.JPG","ROUND"
"!36QF3-V2I28Y8NG2WBJUV6FX0Q6NL.JPG","CAPSULE"
"!3892F5B!ZUK0XQIG85IZ_Z2U0F068.JPG","OVAL"
"!3F1WJ2-OPOHJCGUDP9L5G9LYH9QMJ.JPG","OVAL"
"!3M6Y5P!PGG91-CI60466MO0H3DZ6X.JPG","OVAL"
